,PropertyName,ShortDesc,StationMiles,Description,AddedOrReduced,Agent,ContactNumber,PropertyValue
16,"Chelsea, SW10",4 bedroom semi-detached house for sale,10.49 miles from station,"A very rare opportunity to acquire a recently completed Church Conversion in Chelsea. With innovative designs and crafted interiors, this prestigious townhouse offers an engaging combination of history and contemporary luxury living. The house of St John's was originally design by Victorian ar...",Added on 30/07/2020,"Added on 30/07/2020 by Knight Frank, Chelsea",020 8012 3473,"£15,000,000"
17,"Upper Phillimore Gardens, London, W8",6 bedroom semi-detached house for sale,11.70 miles from station,Renovation opportunity in one of Kensington's finest streets.,Added on 09/10/2020,"Added on 09/10/2020 by Savills, Kensington",020 8012 3125,"£15,000,000"
18,"Harley Gardens, Chelsea, London",6 bedroom semi-detached house for sale,10.50 miles from station,"Located in the heart of the Boltons Conservation Area, this outstanding six bedroom family house has been designed for easy living, benefiting from a lift that services all floors, off street parking, and underground parking.",Added on 15/10/2019,"Added on 15/10/2019 by Strutt & Parker, Chelsea SW10",020 8012 1033,"£14,950,000"
19,Knightsbridge SW7,5 bedroom house for sale,10.56 miles from station,"Located directly opposite Hyde Park in the heart of Knightsbridge, a magnificent and exceptionally well presented five bedroom freehold house with spectacular features throughout. Including a private spa, swimming pool, front and back gardens, exceptional ceiling heights and planning for a lift.",Added on 23/10/2020,"Added on 23/10/2020 by Rokstone, London",020 7580 2030,"£13,995,000"
20,"Henry Moore Court, Manresa Road, London, SW3",4 bedroom semi-detached house for sale,10.14 miles from station,"An immaculately presented modern and bright house off King's Road This modern and bright four-bedroom house forms part of the Henry Moore Court building, situated between King's Road and Chelsea Square. The house is arranged over four floors and has an abundance of living space with three spac...",Added on 19/06/2020,"Added on 19/06/2020 by Knight Frank, Chelsea",020 8012 3473,"£13,950,000"
21,"Gilston Road, Chelsea, London, SW10",3 bedroom semi-detached house for sale,10.57 miles from station,"A double fronted white stucco house for sale in The Boltons Conservation Area. Offering a feeling of privacy, this beautiful double-fronted house is unique in its kerb appeal. Discreetly set back behind a high wall, this stucco-fronted house is very lateral and offers good ceiling height throug...",Added on 02/09/2020,"Added on 02/09/2020 by Knight Frank, Chelsea",020 8012 3473,POA
22,"Chelsea Park Gardens, London, SW3",6 bedroom semi-detached house for sale,10.27 miles from station,"A wide low built house, in a prime Chelsea location. A family house that has been beautifully and meticulously refurbished to a very high standard and has a private garage which can be accessed via the garden.
The house is approached via a large landscaped front garden area and there is also a p...",Added on 15/10/2020,"Added on 15/10/2020 by Knight Frank, Chelsea",020 8012 3473,"£12,950,000"
23,"Elgin Crescent, Notting Hill, London, W11",5 bedroom semi-detached house for sale,12.53 miles from station,"This house has been meticulously renovated and offers the perfect balance of reception/living space and bedroom accommodation. Arranged over six floors, this is an outstanding turn-key family home in a wonderfully idyllic location - a true gem. There is an abundance of natural light throughout, ...",Added on 02/07/2020,"Added on 02/07/2020 by Knight Frank, Notting Hill",020 8012 7838,"£12,527,000"
24,"Chelsea Square, London, SW3",5 bedroom semi-detached house for sale,10.33 miles from station,"Beautiful family house located in renowned Chelsea Square. Chelsea Square, one of the largest and most beautifully maintained private garden squares in central London, was originally laid out by Cadogan Estate in 1812 as Trafalgar Square, but never completed. The south and east sides were enti...",Added on 16/06/2020,"Added on 16/06/2020 by Knight Frank, Chelsea",020 8012 3473,"£11,950,000"
0,Bookham,4 bedroom semi-detached house for sale,18.65 miles from station,"A beautifully presented 4 bedroom semi-detached house; offering spacious family accommodation, a generous size rear garden and situated in a well regarded location.Originally constructed in the 1960's this desirable residence has over the last few years been extended and modernised; enabling th...",Reduced on 06/10/2020,"Reduced on 06/10/2020 by Henshaws Estate Agents, Great Bookham",01372 629028,"£649,950"
1,"Brook Street, London, W1K",Property for sale,10.54 miles from station,"An imposing residential building comprising of five apartments situated on one of Mayfair's most iconic locations. Located in the highly sought after New Bond Street quarter, this beautiful building has been designed with exceptionally high standards to offer luxurious living throughout. Origi...",Reduced on 25/11/2020,"Reduced on 25/11/2020 by Knight Frank, Mayfair",020 8012 3476,"£50,000,000"
2,"Walton Street, Knightsbridge, London, SW3",7 bedroom semi-detached house for sale,10.21 miles from station,"A 7 bedroom converted church for sale in Knightsbridge St Saviours is a unique Grade II listed historical building that has been converted into an extraordinary modern seven bedroom home. The property benefits from a vaulted ceiling, original stone pillars, beautiful views and parking for three ...",Added on 03/04/2020,"Added on 03/04/2020 by Knight Frank, Belgravia, covering Westminster",020 8012 4123,"£44,000,000"
3,"Bedford Gardens, Kensington, London, W8",7 bedroom semi-detached house for sale,11.80 miles from station,"A beautifully presented period listed house, semi-detached and refurbished to an exceptionally high standard and located on one of Kensington’s most sought after roads. The house is set back from the street behind electric gates and a deep front garden and has the benefit of gene...",Added on 13/02/2020,"Added on 13/02/2020 by Aylesford International, Chelsea",020 8012 4022,"£25,000,000"
4,"Carlyle Square, London, SW3",5 bedroom semi-detached house for sale,10.22 miles from station,"An immaculately presented freehold family house, located on one of the finest garden squares in London. The property has undergone a comprehensive rebuild for the current owners and offers fabulous accommodation over 7000 square feet, with an award winning garden.",Added on 12/11/2020,"Added on 12/11/2020 by John D Wood & Co. Sales, Chelsea Green",020 8012 1761,"£21,000,000"
5,"Tor Gardens, Kensington, London, W8",6 bedroom semi-detached house for sale,11.74 miles from station,"This exceptional house in the Royal Borough of Kensington and Chelsea has a long and rich history of which the recent two-and-a-half year total re-build is the latest chapter. Built by Thomas Bridges in 1851, Tor Gardens is a unique, 42ft double width villa forming part of the hist...",Added on 28/09/2020,"Added on 28/09/2020 by Russell Simpson, Kensington",020 3858 2690,"£19,750,000"
6,"Fulham Road, Chelsea, London, SW10",5 bedroom semi-detached house for sale,10.48 miles from station,"ST MARK’S HOUSE FEATURES 5 FLOORS OF ACCOMMODATION, INCLUDING A GENEROUS PRINCIPAL BEDROOM SUITE WITH 4 FURTHER GUEST SUITES, OFF STREET PARKING AND GARDENS.",Reduced on 30/11/2020,"Reduced on 30/11/2020 by Savills, Sloane Street",020 8012 3126,"£19,500,000"
7,"Fulham Road, London, SW10",5 bedroom semi-detached house for sale,10.51 miles from station,"A very rare opportunity to acquire a recently completed Church Conversion in Chelsea. With innovative designs and crafted interiors, this prestigious townhouse offers an engaging combination of history and contemporary luxury living. The house of St Mark's was originally designed by Victorian ...",Reduced on 01/12/2020,"Reduced on 01/12/2020 by Knight Frank, Chelsea",020 8012 3473,"£19,500,000"
8,"Cottesmore Gardens, London, W8",6 bedroom semi-detached house for sale,11.17 miles from station,"An outstanding family house, with a wonderful garden, located on one of the most sought after areas in Kensington Owing to our commitment to keep both our colleagues and clients safe during this period of recommended isolation, we have many self-serve viewing options available to you. These incl...",Added on 11/11/2020,"Added on 11/11/2020 by Knight Frank, Kensington",020 8012 3475,"£18,750,000"
9,"Cottesmore Gardens, Kensington, London, W8",6 bedroom semi-detached house for sale,11.16 miles from station,A magnificent and immaculately presented semi detached white stucco fronted six bedroom family house positioned on this fabulous street in the heart of the much sought after De Vere Conservation Area. Cottesmore Gardens is regarded as one of the premier residential streets in Central London.,Added on 11/11/2020,"Added on 11/11/2020 by Russell Simpson, Kensington",020 3858 2690,"£18,750,000"
10,"Lansdowne Road, London, W11",6 bedroom semi-detached house for sale,12.38 miles from station,"Lansdowne Road offers a truly exceptional semi-detached Victorian family home, benefiting from magnificent reception rooms; ideal for entertaining, high ceilings, and an abundance of light. Comprising of six ample bedrooms (four of which are ensuite), media room, wine cellar, and study. Furth...",Added on 17/07/2020,"Added on 17/07/2020 by Beauchamp Estates Ltd, Mayfair - Resale",020 8012 1499,"£17,500,000"
11,"Lansdowne Road, London, W11",6 bedroom semi-detached house for sale,12.38 miles from station,"A rare opportunity to acquire a stunning family home on arguably one of Notting Hill's finest streets. This imposing semi-detached Victorian house is a truly exceptional home, offering an incredible wealth of attributes in a beautiful communal garden setting. The house offers magnificent recepti...",Reduced on 07/09/2020,"Reduced on 07/09/2020 by Knight Frank, Notting Hill",020 8012 7838,"£17,500,000"
12,"Clarendon Road, Holland Park",7 bedroom semi-detached house for sale,12.33 miles from station,"VIDEO VIEWING AVAILABLE: A stunning seven bedroom semi-detached house, built in 1846, benefits from being one of the few houses on this premium road, backing onto an exclusive garden square.",Added on 23/08/2019,"Added on 23/08/2019 by Kinleigh Folkard & Hayward - Sales, Holland Park",020 8012 8876,"£16,500,000"
13,"Clarendon Road, Notting Hill",7 bedroom semi-detached house for sale,12.33 miles from station,"A magnificent seven bedroom semi-detached house built in 1846 with parking, large private garden and direct access on to an exclusive garden square, located on one of the best streets in W11.",Added on 13/01/2020,"Added on 13/01/2020 by Dexters, Westbourne Grove",020 7313 3600,"£16,500,000"
14,"Chepstow Villas, Notting Hill, W11",5 bedroom semi-detached house for sale,12.20 miles from station,"Entirely rebuilt, this elegant five-bedroom family home sits proudly on Chepstow Villas.",Added on 14/10/2020,"Added on 14/10/2020 by Domus Nova, Notting Hill",020 8012 2381,"£15,000,000"
15,"Fulham Road, Chelsea, London, SW10",4 bedroom semi-detached house for sale,10.48 miles from station,A very rare opportunity to acquire a recently completed Church Conversion on the Fulham Road.,Added on 29/07/2020,"Added on 29/07/2020 by Savills, Sloane Street",020 8012 3126,"£15,000,000"
16,"Chelsea, SW10",4 bedroom semi-detached house for sale,10.49 miles from station,"A very rare opportunity to acquire a recently completed Church Conversion in Chelsea. With innovative designs and crafted interiors, this prestigious townhouse offers an engaging combination of history and contemporary luxury living. The house of St John's was originally design by Victorian ar...",Added on 30/07/2020,"Added on 30/07/2020 by Knight Frank, Chelsea",020 8012 3473,"£15,000,000"
17,"Upper Phillimore Gardens, London, W8",6 bedroom semi-detached house for sale,11.70 miles from station,Renovation opportunity in one of Kensington's finest streets.,Added on 09/10/2020,"Added on 09/10/2020 by Savills, Kensington",020 8012 3125,"£15,000,000"
18,"Harley Gardens, Chelsea, London",6 bedroom semi-detached house for sale,10.50 miles from station,"Located in the heart of the Boltons Conservation Area, this outstanding six bedroom family house has been designed for easy living, benefiting from a lift that services all floors, off street parking, and underground parking.",Added on 15/10/2019,"Added on 15/10/2019 by Strutt & Parker, Chelsea SW10",020 8012 1033,"£14,950,000"
19,Knightsbridge SW7,5 bedroom house for sale,10.56 miles from station,"Located directly opposite Hyde Park in the heart of Knightsbridge, a magnificent and exceptionally well presented five bedroom freehold house with spectacular features throughout. Including a private spa, swimming pool, front and back gardens, exceptional ceiling heights and planning for a lift.",Added on 23/10/2020,"Added on 23/10/2020 by Rokstone, London",020 7580 2030,"£13,995,000"
20,"Henry Moore Court, Manresa Road, London, SW3",4 bedroom semi-detached house for sale,10.14 miles from station,"An immaculately presented modern and bright house off King's Road This modern and bright four-bedroom house forms part of the Henry Moore Court building, situated between King's Road and Chelsea Square. The house is arranged over four floors and has an abundance of living space with three spac...",Added on 19/06/2020,"Added on 19/06/2020 by Knight Frank, Chelsea",020 8012 3473,"£13,950,000"
21,"Gilston Road, Chelsea, London, SW10",3 bedroom semi-detached house for sale,10.57 miles from station,"A double fronted white stucco house for sale in The Boltons Conservation Area. Offering a feeling of privacy, this beautiful double-fronted house is unique in its kerb appeal. Discreetly set back behind a high wall, this stucco-fronted house is very lateral and offers good ceiling height throug...",Added on 02/09/2020,"Added on 02/09/2020 by Knight Frank, Chelsea",020 8012 3473,POA
22,"Chelsea Park Gardens, London, SW3",6 bedroom semi-detached house for sale,10.27 miles from station,"A wide low built house, in a prime Chelsea location. A family house that has been beautifully and meticulously refurbished to a very high standard and has a private garage which can be accessed via the garden.
The house is approached via a large landscaped front garden area and there is also a p...",Added on 15/10/2020,"Added on 15/10/2020 by Knight Frank, Chelsea",020 8012 3473,"£12,950,000"
23,"Elgin Crescent, Notting Hill, London, W11",5 bedroom semi-detached house for sale,12.53 miles from station,"This house has been meticulously renovated and offers the perfect balance of reception/living space and bedroom accommodation. Arranged over six floors, this is an outstanding turn-key family home in a wonderfully idyllic location - a true gem. There is an abundance of natural light throughout, ...",Added on 02/07/2020,"Added on 02/07/2020 by Knight Frank, Notting Hill",020 8012 7838,"£12,527,000"
24,"Chelsea Square, London, SW3",5 bedroom semi-detached house for sale,10.33 miles from station,"Beautiful family house located in renowned Chelsea Square. Chelsea Square, one of the largest and most beautifully maintained private garden squares in central London, was originally laid out by Cadogan Estate in 1812 as Trafalgar Square, but never completed. The south and east sides were enti...",Added on 16/06/2020,"Added on 16/06/2020 by Knight Frank, Chelsea",020 8012 3473,"£11,950,000"
0,"Albury Ride, Cheshunt",5 bedroom semi-detached house for sale,20.68 miles from station,"A very spacious FIVE BEDROOM SEMI-DETACHED 1930's house with an INCREDIBLE 350FT double plot rear garden. The home features a fabulous LARGE RECEPTION ROOM, SUPERB KITCHEN/DINING ROOM, family bathroom & ground floor shower room, GARAGE and extensive driveway with security gates.",Added on 16/11/2020,"Added on 16/11/2020 by Paul Wallace Estate Agents, Cheshunt",01992 781100,"£795,000"
1,"Brook Street, London, W1K",Property for sale,10.54 miles from station,"An imposing residential building comprising of five apartments situated on one of Mayfair's most iconic locations. Located in the highly sought after New Bond Street quarter, this beautiful building has been designed with exceptionally high standards to offer luxurious living throughout. Origi...",Reduced on 25/11/2020,"Reduced on 25/11/2020 by Knight Frank, Mayfair",020 8012 3476,"£50,000,000"
2,"Walton Street, Knightsbridge, London, SW3",7 bedroom semi-detached house for sale,10.21 miles from station,"A 7 bedroom converted church for sale in Knightsbridge St Saviours is a unique Grade II listed historical building that has been converted into an extraordinary modern seven bedroom home. The property benefits from a vaulted ceiling, original stone pillars, beautiful views and parking for three ...",Added on 03/04/2020,"Added on 03/04/2020 by Knight Frank, Belgravia, covering Westminster",020 8012 4123,"£44,000,000"
3,"Bedford Gardens, Kensington, London, W8",7 bedroom semi-detached house for sale,11.80 miles from station,"A beautifully presented period listed house, semi-detached and refurbished to an exceptionally high standard and located on one of Kensington’s most sought after roads. The house is set back from the street behind electric gates and a deep front garden and has the benefit of gene...",Added on 13/02/2020,"Added on 13/02/2020 by Aylesford International, Chelsea",020 8012 4022,"£25,000,000"
4,"Carlyle Square, London, SW3",5 bedroom semi-detached house for sale,10.22 miles from station,"An immaculately presented freehold family house, located on one of the finest garden squares in London. The property has undergone a comprehensive rebuild for the current owners and offers fabulous accommodation over 7000 square feet, with an award winning garden.",Added on 12/11/2020,"Added on 12/11/2020 by John D Wood & Co. Sales, Chelsea Green",020 8012 1761,"£21,000,000"
5,"Tor Gardens, Kensington, London, W8",6 bedroom semi-detached house for sale,11.74 miles from station,"This exceptional house in the Royal Borough of Kensington and Chelsea has a long and rich history of which the recent two-and-a-half year total re-build is the latest chapter. Built by Thomas Bridges in 1851, Tor Gardens is a unique, 42ft double width villa forming part of the hist...",Added on 28/09/2020,"Added on 28/09/2020 by Russell Simpson, Kensington",020 3858 2690,"£19,750,000"
6,"Fulham Road, Chelsea, London, SW10",5 bedroom semi-detached house for sale,10.48 miles from station,"ST MARK’S HOUSE FEATURES 5 FLOORS OF ACCOMMODATION, INCLUDING A GENEROUS PRINCIPAL BEDROOM SUITE WITH 4 FURTHER GUEST SUITES, OFF STREET PARKING AND GARDENS.",Reduced on 30/11/2020,"Reduced on 30/11/2020 by Savills, Sloane Street",020 8012 3126,"£19,500,000"
7,"Fulham Road, London, SW10",5 bedroom semi-detached house for sale,10.51 miles from station,"A very rare opportunity to acquire a recently completed Church Conversion in Chelsea. With innovative designs and crafted interiors, this prestigious townhouse offers an engaging combination of history and contemporary luxury living. The house of St Mark's was originally designed by Victorian ...",Reduced on 01/12/2020,"Reduced on 01/12/2020 by Knight Frank, Chelsea",020 8012 3473,"£19,500,000"
8,"Cottesmore Gardens, London, W8",6 bedroom semi-detached house for sale,11.17 miles from station,"An outstanding family house, with a wonderful garden, located on one of the most sought after areas in Kensington Owing to our commitment to keep both our colleagues and clients safe during this period of recommended isolation, we have many self-serve viewing options available to you. These incl...",Added on 11/11/2020,"Added on 11/11/2020 by Knight Frank, Kensington",020 8012 3475,"£18,750,000"
9,"Cottesmore Gardens, Kensington, London, W8",6 bedroom semi-detached house for sale,11.16 miles from station,A magnificent and immaculately presented semi detached white stucco fronted six bedroom family house positioned on this fabulous street in the heart of the much sought after De Vere Conservation Area. Cottesmore Gardens is regarded as one of the premier residential streets in Central London.,Added on 11/11/2020,"Added on 11/11/2020 by Russell Simpson, Kensington",020 3858 2690,"£18,750,000"
10,"Lansdowne Road, London, W11",6 bedroom semi-detached house for sale,12.38 miles from station,"Lansdowne Road offers a truly exceptional semi-detached Victorian family home, benefiting from magnificent reception rooms; ideal for entertaining, high ceilings, and an abundance of light. Comprising of six ample bedrooms (four of which are ensuite), media room, wine cellar, and study. Furth...",Added on 17/07/2020,"Added on 17/07/2020 by Beauchamp Estates Ltd, Mayfair - Resale",020 8012 1499,"£17,500,000"
11,"Lansdowne Road, London, W11",6 bedroom semi-detached house for sale,12.38 miles from station,"A rare opportunity to acquire a stunning family home on arguably one of Notting Hill's finest streets. This imposing semi-detached Victorian house is a truly exceptional home, offering an incredible wealth of attributes in a beautiful communal garden setting. The house offers magnificent recepti...",Reduced on 07/09/2020,"Reduced on 07/09/2020 by Knight Frank, Notting Hill",020 8012 7838,"£17,500,000"
12,"Clarendon Road, Holland Park",7 bedroom semi-detached house for sale,12.33 miles from station,"VIDEO VIEWING AVAILABLE: A stunning seven bedroom semi-detached house, built in 1846, benefits from being one of the few houses on this premium road, backing onto an exclusive garden square.",Added on 23/08/2019,"Added on 23/08/2019 by Kinleigh Folkard & Hayward - Sales, Holland Park",020 8012 8876,"£16,500,000"
13,"Clarendon Road, Notting Hill",7 bedroom semi-detached house for sale,12.33 miles from station,"A magnificent seven bedroom semi-detached house built in 1846 with parking, large private garden and direct access on to an exclusive garden square, located on one of the best streets in W11.",Added on 13/01/2020,"Added on 13/01/2020 by Dexters, Westbourne Grove",020 7313 3600,"£16,500,000"
14,"Chepstow Villas, Notting Hill, W11",5 bedroom semi-detached house for sale,12.20 miles from station,"Entirely rebuilt, this elegant five-bedroom family home sits proudly on Chepstow Villas.",Added on 14/10/2020,"Added on 14/10/2020 by Domus Nova, Notting Hill",020 8012 2381,"£15,000,000"
15,"Fulham Road, Chelsea, London, SW10",4 bedroom semi-detached house for sale,10.48 miles from station,A very rare opportunity to acquire a recently completed Church Conversion on the Fulham Road.,Added on 29/07/2020,"Added on 29/07/2020 by Savills, Sloane Street",020 8012 3126,"£15,000,000"
16,"Chelsea, SW10",4 bedroom semi-detached house for sale,10.49 miles from station,"A very rare opportunity to acquire a recently completed Church Conversion in Chelsea. With innovative designs and crafted interiors, this prestigious townhouse offers an engaging combination of history and contemporary luxury living. The house of St John's was originally design by Victorian ar...",Added on 30/07/2020,"Added on 30/07/2020 by Knight Frank, Chelsea",020 8012 3473,"£15,000,000"
17,"Upper Phillimore Gardens, London, W8",6 bedroom semi-detached house for sale,11.70 miles from station,Renovation opportunity in one of Kensington's finest streets.,Added on 09/10/2020,"Added on 09/10/2020 by Savills, Kensington",020 8012 3125,"£15,000,000"
18,"Harley Gardens, Chelsea, London",6 bedroom semi-detached house for sale,10.50 miles from station,"Located in the heart of the Boltons Conservation Area, this outstanding six bedroom family house has been designed for easy living, benefiting from a lift that services all floors, off street parking, and underground parking.",Added on 15/10/2019,"Added on 15/10/2019 by Strutt & Parker, Chelsea SW10",020 8012 1033,"£14,950,000"
19,Knightsbridge SW7,5 bedroom house for sale,10.56 miles from station,"Located directly opposite Hyde Park in the heart of Knightsbridge, a magnificent and exceptionally well presented five bedroom freehold house with spectacular features throughout. Including a private spa, swimming pool, front and back gardens, exceptional ceiling heights and planning for a lift.",Added on 23/10/2020,"Added on 23/10/2020 by Rokstone, London",020 7580 2030,"£13,995,000"
20,"Henry Moore Court, Manresa Road, London, SW3",4 bedroom semi-detached house for sale,10.14 miles from station,"An immaculately presented modern and bright house off King's Road This modern and bright four-bedroom house forms part of the Henry Moore Court building, situated between King's Road and Chelsea Square. The house is arranged over four floors and has an abundance of living space with three spac...",Added on 19/06/2020,"Added on 19/06/2020 by Knight Frank, Chelsea",020 8012 3473,"£13,950,000"
21,"Gilston Road, Chelsea, London, SW10",3 bedroom semi-detached house for sale,10.57 miles from station,"A double fronted white stucco house for sale in The Boltons Conservation Area. Offering a feeling of privacy, this beautiful double-fronted house is unique in its kerb appeal. Discreetly set back behind a high wall, this stucco-fronted house is very lateral and offers good ceiling height throug...",Added on 02/09/2020,"Added on 02/09/2020 by Knight Frank, Chelsea",020 8012 3473,POA
22,"Chelsea Park Gardens, London, SW3",6 bedroom semi-detached house for sale,10.27 miles from station,"A wide low built house, in a prime Chelsea location. A family house that has been beautifully and meticulously refurbished to a very high standard and has a private garage which can be accessed via the garden.
The house is approached via a large landscaped front garden area and there is also a p...",Added on 15/10/2020,"Added on 15/10/2020 by Knight Frank, Chelsea",020 8012 3473,"£12,950,000"
23,"Elgin Crescent, Notting Hill, London, W11",5 bedroom semi-detached house for sale,12.53 miles from station,"This house has been meticulously renovated and offers the perfect balance of reception/living space and bedroom accommodation. Arranged over six floors, this is an outstanding turn-key family home in a wonderfully idyllic location - a true gem. There is an abundance of natural light throughout, ...",Added on 02/07/2020,"Added on 02/07/2020 by Knight Frank, Notting Hill",020 8012 7838,"£12,527,000"
24,"Chelsea Square, London, SW3",5 bedroom semi-detached house for sale,10.33 miles from station,"Beautiful family house located in renowned Chelsea Square. Chelsea Square, one of the largest and most beautifully maintained private garden squares in central London, was originally laid out by Cadogan Estate in 1812 as Trafalgar Square, but never completed. The south and east sides were enti...",Added on 16/06/2020,"Added on 16/06/2020 by Knight Frank, Chelsea",020 8012 3473,"£11,950,000"
0,,Property,nan,,,,,
1,,Property,nan,,,,,
2,,Property,nan,,,,,
3,,Property,nan,,,,,
4,,Property,nan,,,,,
5,,Property,nan,,,,,
6,,Property,nan,,,,,
7,,Property,nan,,,,,
8,,Property,nan,,,,,
9,,Property,nan,,,,,
10,,Property,nan,,,,,
11,,Property,nan,,,,,
12,,Property,nan,,,,,
13,,Property,nan,,,,,
14,,Property,nan,,,,,
15,,Property,nan,,,,,
16,,Property,nan,,,,,
17,,Property,nan,,,,,
18,,Property,nan,,,,,
19,,Property,nan,,,,,
20,,Property,nan,,,,,
21,,Property,nan,,,,,
22,,Property,nan,,,,,
23,,Property,nan,,,,,
24,,Property,nan,,,,,
0,,Property,nan,,,,,
1,,Property,nan,,,,,
2,,Property,nan,,,,,
3,,Property,nan,,,,,
4,,Property,nan,,,,,
5,,Property,nan,,,,,
6,,Property,nan,,,,,
7,,Property,nan,,,,,
8,,Property,nan,,,,,
9,,Property,nan,,,,,
10,,Property,nan,,,,,
11,,Property,nan,,,,,
12,,Property,nan,,,,,
13,,Property,nan,,,,,
14,,Property,nan,,,,,
15,,Property,nan,,,,,
16,,Property,nan,,,,,
17,,Property,nan,,,,,
18,,Property,nan,,,,,
19,,Property,nan,,,,,
20,,Property,nan,,,,,
21,,Property,nan,,,,,
22,,Property,nan,,,,,
23,,Property,nan,,,,,
24,,Property,nan,,,,,
0,,Property,nan,,,,,
1,,Property,nan,,,,,
2,,Property,nan,,,,,
3,,Property,nan,,,,,
4,,Property,nan,,,,,
5,,Property,nan,,,,,
6,,Property,nan,,,,,
7,,Property,nan,,,,,
8,,Property,nan,,,,,
9,,Property,nan,,,,,
10,,Property,nan,,,,,
11,,Property,nan,,,,,
12,,Property,nan,,,,,
13,,Property,nan,,,,,
14,,Property,nan,,,,,
15,,Property,nan,,,,,
16,,Property,nan,,,,,
17,,Property,nan,,,,,
18,,Property,nan,,,,,
19,,Property,nan,,,,,
20,,Property,nan,,,,,
21,,Property,nan,,,,,
22,,Property,nan,,,,,
23,,Property,nan,,,,,
24,,Property,nan,,,,,
0,"Cumberland Road, Bromley",4 bedroom semi-detached house for sale,0.67 miles from station,"Well presented four bedroom semi detached house located close to Highfield schools offering a wealth of extras that are exceptionally useful in the current climate. The present owners have created a comfortable and spacious family home with the benefit of a Wellness cabin with sauna, resistance p...",Added on 11/11/2020,"Added on 11/11/2020 by Edmund Estate Agents , Bromley South/Park Langley",020 8012 3751,"£850,000"
1,"Bickley Road, Bickley, Bromley",4 bedroom semi-detached house for sale,0.91 miles from station,"A beautifully presented 4 bedroom, 2 bathroom semi detached house, with a generous garage conveniently located in the area of Bickley. The property consists of an entrance hallway with storage under the stairs, a double aspect through reception/dining room with bright bay windows, 2 x feature ...",Added on 25/11/2020,"Added on 25/11/2020 by Browne Estates, Bromley",020 8012 1854,"£675,000"
2,"Ellen Close, Bromley",4 bedroom semi-detached house for sale,0.86 miles from station,Simply put this immaculately well presented and thoughtfully well extended four bedroom semi detached house has in our opinion been finished to a very high standard rarely seen today and deserves your earliest attention to view.,Added on 10/10/2020,"Added on 10/10/2020 by Coady Phillips, Bromley",020 8012 4014,"£650,000"
3,"Widmore Road, Bromley, BR1",3 bedroom semi-detached house for sale,0.76 miles from station,"We are delighted to welcome this spacious and well designed semi detached home in the heart of Bromley which offers generous accommodation and scope to extend STP. The accommodation on offer briefly comprises of an entrance hallway, generous lounge, family/dining room which opens up into the ref...",Added on 13/11/2020,"Added on 13/11/2020 by Purplebricks, covering London",0121 396 0233,"£645,000"
4,"Highland Road, Bromley, England, Uk, BR1",3 bedroom semi-detached house for sale,0.83 miles from station,"Offered for sale is this great family house, laid in a traditional town house style with off street parking for two cars. Internally the property offers to the ground floor the converted garage which has a shower and w/c currently laid out with furniture as an additional reception room, the first...",Added on 02/12/2020,"Added on 02/12/2020 by Mann, Beckenham",020 8012 3526,"£625,000"
5,"Amesbury Road, Bromley",3 bedroom semi-detached house for sale,0.83 miles from station,A well-presented three bedroom semi-detached family home located on an attractive tree lined road close to great schools and both Bickley and Bromley South mainline stations. No chain.,Added on 21/10/2020,"Added on 21/10/2020 by Kinleigh Folkard & Hayward - Sales, Bromley",020 8012 2743,"£625,000"
6,"Mead Way, Bromley",3 bedroom semi-detached house for sale,0.81 miles from station,This very well presented three bedroom semi detached house boasts excellent living space throughout. Conveniently placed for Ravensbourne Secondary school and transport links.,Added on 24/11/2020,"Added on 24/11/2020 by Kinleigh Folkard & Hayward - Sales, Hayes",020 8012 2753,"£600,000"
7,Heath Rise Bromley BR2,3 bedroom semi-detached house for sale,0.93 miles from station,"Guide Price £600,000 -£625,000. Offered ‘chain free’ is this three bedroom extended refurbished semi-detached house in a popular quiet residential location. Energy Efficiency Rating D.",Added on 24/11/2020,"Added on 24/11/2020 by Langford Russell, West Wickham",020 8012 4572,"£600,000"
8,"Fashoda Road, Bromley, Kent, BR2",3 bedroom semi-detached house for sale,0.82 miles from station,"This lovely semi-detached family home is looking for new owners... can you help? Presented in stunning decorative order throughout having recently been renovated and extended it is a must view. The property has new double glazed windows, a kitchen diner room with bi-fold do...",Added on 09/10/2020,"Added on 09/10/2020 by Keller Williams, Covering Kent and South East London",020 8012 4978,"£600,000"
9,"Ridley Road, Bromley, Kent, BR2",4 bedroom semi-detached house for sale,0.31 miles from station,"As Vendors sole agent, we are pleased to offer this truly stunning, bright and airy four bedroom semi detached house. The property benefits from two off road parking spaces, garage, en suite shower wc and within easy reach of all the facilities and amenities of Bromley Town Centre. EPC: D",Added on 27/11/2020,"Added on 27/11/2020 by Sinclair Hammelton, Bromley - Sales",020 8012 3328,"£575,000"
10,"Westmoreland Road, Bromley",3 bedroom semi-detached house for sale,0.18 miles from station,A larger than average three bedroom semi-detached Victorian house presented beautifully throughout with a large bright kitchen and parking at rear. Close to Bromley South.,Added on 21/10/2020,"Added on 21/10/2020 by Kinleigh Folkard & Hayward - Sales, Bromley",020 8012 2743,"£550,000"
